student_cuid,name,email
cmfpr6f5g0005xkto2h5xmwf4,Everett Schumm,Bernita.Nolan11@hotmail.com
cmfpr6f8t0006xkto28wowtfn,Nellie Emard,Kaleb_Streich89@hotmail.com
cmfpr6fbn0007xktoeypnqnxh,Geneva Hagenes,Rick_Weissnat0@yahoo.com
cmfpr6fes0008xktoz7djau1v,Alonzo Hauck,Florine_Ritchie58@hotmail.com
cmfpr6fhp0009xkto2jwdc8tl,Alton O'Conner,Claudine3@yahoo.com
cmfpr6fl4000axktouodmwltb,Jan Thiel,Stuart.Gusikowski@gmail.com
cmfpr6fo2000bxktoeiw16z83,Lillian Reynolds,Dovie_Will69@gmail.com
cmfpr6frd000cxkto7hgp3ywy,Reginald Luettgen,Marlon.Lang@yahoo.com
cmfpr6fuy000dxkto2r7yt4z2,Darlene Tillman,Francis_Crona@hotmail.com
cmfpr6fxq000exktosp6ikbk0,Alexander Leuschke DVM,Alfreda38@yahoo.com
cmfpr6g0l000fxktog1f2ucn5,Lee Walker,Marilou67@gmail.com
cmfpr6g3j000gxktoxfe20ab9,Mathew Ullrich,Uriah_Muller39@gmail.com
cmfpr6g6i000hxktogsrnxezc,Arturo Williamson,Lou.Feil@gmail.com
cmfpr6g9e000ixktostkk70pb,Pamela Cummings,Dorcas_Legros@gmail.com
cmfpr6gcd000jxktodhlf27ik,Jorge Paucek,Horace_Collier36@hotmail.com
cmfpr6gfi000kxktocgwv41lm,Shari Lang,Layla.Olson73@hotmail.com
cmfpr6gif000lxktot61rpkkw,Julie Moen,Nadia_OHara99@hotmail.com
cmfpr6gl6000mxktov0h3lxwh,Elsie Spencer,Grady64@yahoo.com
cmfpr6gnx000nxktosvgprgor,Norma Turcotte,Verlie_Murazik@yahoo.com
cmfpr6gqu000oxktomdcel4zh,Winston Fritsch,Dayana_Langosh@yahoo.com
